date,home,away,market,prob,odds,ev,stake_pct,stake_amt,is_win,profit,bankroll,clv,cum_profit,peak,drawdown
2024-05-04,Sheffield United,Nott'm Forest,home,0.2817,4.75,0.3380750000000001,0.02253833333333334,19.824938063167696,False,-19.824938063167696,859.7848258871846,0.0,859.7848258871846,1529.1615134740478,-0.43774099837637814
2024-05-04,Brentford,Fulham,draw,0.2765,3.8,0.05069999999999997,0.0045267857142857115,3.892061667185735,True,10.897772668120057,870.6825985553047,0.0,870.6825985553047,1529.1615134740478,-0.43061436553079874
2024-05-04,Burnley,Newcastle,home,0.373,3.4,0.2682,0.0279375,24.324695097138825,False,-24.324695097138825,846.3579034581659,0.0,846.3579034581659,1529.1615134740478,-0.44652157669378206
2024-05-04,Arsenal,Bournemouth,away,0.4985,11.0,4.4835,0.1,84.63579034581659,False,-84.63579034581659,761.7221131123492,0.0,761.7221131123492,1529.1615134740478,-0.5018694190244039
2024-05-04,Man City,Wolves,draw,0.1733,12.0,1.0796000000000001,0.024536363636363637,18.689890757183914,False,-18.689890757183914,743.0322223551653,0.0,743.0322223551653,1529.1615134740478,-0.5140917320976142
2024-05-05,Brighton,Aston Villa,away,0.6438,2.45,0.5773100000000002,0.09953620689655175,73.95860901514838,False,-73.95860901514838,669.073613340017,0.0,669.0736133400169,1529.1615134740478,-0.5624571979842912
2024-05-05,Chelsea,West Ham,away,0.3857,4.5,0.7356499999999999,0.05254642857142856,35.157428832398814,False,-35.157428832398814,633.9161845076181,0.0,633.9161845076181,1529.1615134740478,-0.5854485095773523
2024-05-05,Liverpool,Tottenham,draw,0.248,5.75,0.42599999999999993,0.022421052631578942,14.213068136855014,False,-14.213068136855014,619.7031163707632,0.0,619.7031163707632,1529.1615134740478,-0.594743190362618
2024-05-06,Crystal Palace,Man United,home,0.5551,2.38,0.3211379999999999,0.058177173913043466,36.0525759755569,True,49.75255484626852,669.4556712170316,0.0,669.4556712170317,1529.1615134740478,-0.5622073500292856
2024-05-11,West Ham,Luton,away,0.4438,3.8,0.6864399999999997,0.06128928571428569,41.030459906269556,False,-41.030459906269556,628.425211310762,0.0,628.4252113107622,1529.1615134740478,-0.589039348836955
